World Rank,Institution
1,Harvard University
2,Massachusetts Institute of Technology
3,Stanford University
4,University of Cambridge
5,University of Oxford
6,Princeton University
7,University of Pennsylvania
8,Columbia University
9,Yale University
10,University of Chicago
11,California Institute of Technology
12,"University of California, Berkeley"
13,University of Tokyo
14,Cornell University
15,Northwestern University
16,"University of Michigan, Ann Arbor"
17,"University of California, Los Angeles"
18,Johns Hopkins University
19,PSL University
20,University College London
21,Duke University
22,University of Illinois at Urbana–Champaign
23,University of Toronto
24,Kyoto University
25,New York University
26,University of Washington
27,McGill University
28,Imperial College London
29,Paris City University
30,University of Wisconsin–Madison
31,Seoul National University
32,ETH Zurich
33,"University of California, San Diego"
34,Paris-Saclay University
35,Institut Polytechnique de Paris
36,University of Texas at Austin
37,Tsinghua University
38,University of Copenhagen
39,"University of California, San Francisco"
40,University of North Carolina at Chapel Hill
41,Karolinska Institute
42,King's College London
43,Sorbonne University
44,Peking University
45,Dartmouth College
46,University of Chinese Academy of Sciences
47,Washington University in St. Louis
48,University of British Columbia
49,University of Minnesota - Twin Cities
50,Ludwig Maximilian University of Munich
51,University of Edinburgh
52,University of New South Wales
53,University of Manchester
54,University of Southern California
55,Ohio State University
56,Vanderbilt University
57,Pennsylvania State University
58,Humboldt University of Berlin
59,Free University of Berlin
60,"University of California, Davis"
61,Shanghai Jiao Tong University
62,University of Zurich
63,Rutgers University
64,University of Melbourne
65,Hebrew University of Jerusalem
66,Purdue University
67,University of Texas Southwestern Medical Center
68,Zhejiang University
69,Rockefeller University
70,Weizmann Institute of Science
71,Brown University
72,Heidelberg University
73,Fudan University
74,Georgia Institute of Technology
75,University of Colorado Boulder
76,University of Virginia
77,Technical University of Munich
78,Utrecht University
79,University of Rochester
80,National University of Singapore
81,University of Alberta
82,"Texas A&M University, College Station"
83,University of Amsterdam
84,University of Pittsburgh
85,University of Basel
86,University of Florida
87,University of Oslo
88,Leiden University
89,"University of California, Irvine"
90,Australian National University
91,Uppsala University
92,"University of Maryland, College Park"
93,University of Birmingham
94,University of Sydney
95,Sun Yat-sen University
96,University of Science and Technology of China
97,Carnegie Mellon University
98,Huazhong University of Science and Technology
99,Boston University
100,Aarhus University
101,University of Bristol
102,University of Arizona
103,University of Queensland
104,University of Groningen
105,KU Leuven
106,École Polytechnique Fédérale de Lausanne
107,Osaka University
108,Keio University
109,University of Leeds
110,University of Göttingen
111,Erasmus University Rotterdam
112,"University of California, Santa Barbara"
113,National Taiwan University
114,University of Utah
115,University of Geneva
116,University of Texas MD Anderson Cancer Center
117,Monash University
118,University of São Paulo
119,University of Bonn
120,University of Tübingen
121,Indiana University Bloomington
122,INSEAD
123,Nagoya University
124,University of Montreal
125,Sapienza University of Rome
126,Autonomous University of Barcelona
127,University of Helsinki
128,Ghent University
129,Nanjing University
130,Lund University
131,University of Glasgow
132,Nanyang Technological University
133,University of Southampton
134,Emory University
135,Baylor College of Medicine
136,University of Barcelona
137,University of Freiburg
138,Xi'an Jiaotong University
139,University of Bern
140,Wuhan University
141,University of Liverpool
142,Tianjin University
143,Yonsei University
144,University of Colorado Denver | Anschutz Medical Campus
145,Institute of Science Tokyo
146,Xiamen University
147,University of Nottingham
148,KTH Royal Institute of Technology
149,University of Strasbourg
150,Case Western Reserve University
151,University of Western Australia
152,Goethe University Frankfurt
153,Stockholm University
154,Sichuan University
155,Korea University
156,Tel Aviv University
157,Harbin Institute of Technology
158,Tohoku University
159,VU Amsterdam
160,University of Iowa
161,University of Hong Kong
162,Central South University
163,Queen Mary University of London
164,Grenoble Alpes University
165,Michigan State University
166,University of Sheffield
167,Tongji University
168,Shandong University
169,Aix-Marseille University
170,Cardiff University
171,South China University of Technology
172,Radboud University
173,Newcastle University
174,Icahn School of Medicine at Mount Sinai
175,University of Gothenburg
176,Chinese University of Hong Kong
177,University of Montpellier
178,University of Padova
179,University of Massachusetts Amherst
180,Rice University
181,Southeast University
182,Norwegian University of Science and Technology
183,Tufts University
184,University of Warwick
185,Western University
186,McMaster University
187,University of Hamburg
188,Technion – Israel Institute of Technology
189,Nankai University
190,University of Cologne
191,University of Milan
192,University of Alabama at Birmingham
193,Wageningen University & Research
194,Jilin University
195,Sungkyunkwan University
196,Arizona State University
197,University of Lausanne
198,Brandeis University
199,University of Vienna
200,Iowa State University
201,Hong Kong University of Science and Technology
202,University of Calgary
203,Hong Kong Polytechnic University
204,University of Bologna
205,University of Notre Dame
206,Technical University of Denmark
207,University of Connecticut
208,London School of Hygiene & Tropical Medicine
209,North Carolina State University
210,"Soochow University, China"
211,University of Waterloo
212,Beihang University
213,University of Adelaide
214,Zhengzhou University
215,Stony Brook University
216,University of Miami
217,City University of Hong Kong
218,University of Lisbon
219,Johannes Gutenberg University Mainz
220,University of Ottawa
221,Georgetown University
222,University of Münster
223,Claude Bernard University Lyon 1
224,RWTH Aachen University
225,Paul Sabatier University
226,University of Kansas
227,University of Georgia
228,Waseda University
229,Beijing Institute of Technology
230,Technical University of Dresden
231,Dalian University of Technology
232,"University of Tennessee, Knoxville"
233,University of Electronic Science and Technology of China
234,University of Würzburg
235,Hunan University
236,Institut national du service public
237,King Abdullah University of Science and Technology
238,Université catholique de Louvain
239,University of Bordeaux
240,Chongqing University
241,University of Erlangen–Nuremberg
242,University of Turin
243,University of Naples Federico II
244,Kiel University
245,Lomonosov Moscow State University
246,University of Cincinnati
247,Hokkaido University
248,Charles University in Prague
249,King Abdulaziz University
250,University of Missouri–Columbia
251,University of Leicester
252,KAIST
253,Complutense University of Madrid
254,University of Illinois at Chicago
255,Shenzhen University
256,Université libre de Bruxelles
257,University of Lille
258,Karlsruhe Institute of Technology
259,Trinity College Dublin
260,Northwestern Polytechnical University
261,University of Exeter
262,University of Texas Health Science Center at Houston
263,University of Sussex
264,Maastricht University
265,Kyushu University
266,China Europe International Business School
267,University of Houston
268,"University of California, Riverside"
269,Delft University of Technology
270,Yeshiva University
271,Wake Forest University
272,Beijing Normal University
273,Virginia Commonwealth University
274,University of Florence
275,University of Cape Town
276,Colorado State University
277,University of Auckland
278,Leipzig University
279,Oregon Health & Science University
280,University of Lorraine
281,Virginia Tech
282,National Autonomous University of Mexico
283,University of Reading
284,George Washington University
285,Medical University of Vienna
286,University of Genoa
287,National and Kapodistrian University of Athens
288,University of Pisa
289,University of Southern Denmark
290,The Scripps Research Institute
291,Oregon State University
292,University of the Witwatersrand
